otu_id,Class,Family,Genus,Species,Life_cycle,Source
OTU19,Collembola,Tullbergiidae,Mesaphorura,macrochaeta,Semi-terrestrial,Water availability rather than temperature control soil fauna community structure and prey–predator interactions
OTU190,NA,NA,NA,NA,NA,NA
OTU1901,NA,NA,NA,NA,NA,NA
OTU1917,NA,NA,NA,NA,NA,NA
OTU194,NA,NA,NA,NA,NA,NA
OTU195,Clitellata,Lumbricidae,Aporrectodea,rosea,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU197,NA,NA,NA,NA,NA,NA
OTU198,Insecta,Chironomidae,Bryophaenocladius,terrestris,Semi-aquatic,freshwaterecology.info
OTU199,Clitellata,Enchytraeidae,Fridericia,tuberosa,Semi-terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU2,NA,NA,NA,NA,NA,NA
OTU202,NA,NA,NA,NA,NA,NA
OTU203,Clitellata,Lumbricidae,Aporrectodea,NA,NA,NA
OTU2054,NA,NA,NA,NA,NA,NA
OTU208,Clitellata,Lumbricidae,Octolasion,cyaneum,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU210,Insecta,Lauxaniidae,Pseudolyciella,pallidiventris,Terrestrial,“Dagger flies” (Insecta: Diptera: Empedidae).
OTU21015,NA,NA,NA,NA,NA,NA
OTU211,Clitellata,Enchytraeidae,Fridericia,NA,Semi-terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU213,NA,NA,NA,NA,NA,NA
OTU216,Insecta,Chironomidae,Paratrichocladius,rufiventris,Semi-aquatic,freshwaterecology.info
OTU22,NA,NA,NA,NA,NA,NA
OTU220,Insecta,Chironomidae,Potthastia,gaedii,Semi-aquatic,freshwaterecology.info
OTU2244,Clitellata,Lumbricidae,Dendrobaena,octaedra,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU2263,Insecta,Chironomidae,Paratanytarsus,tenellulus,Semi-aquatic,freshwaterecology.info
OTU2268,NA,NA,NA,NA,NA,NA
OTU227,Insecta,Chironomidae,Bryophaenocladius,terrestris,Semi-aquatic,freshwaterecology.info
OTU229,NA,NA,NA,NA,NA,NA
OTU2307,Insecta,Leuctridae,Leuctra,hippopus,Semi-aquatic,freshwaterecology.info
OTU2321,Clitellata,Lumbricidae,Dendrobaena,octaedra,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU2326,Ostracoda,Candonidae,Candona,candida,Aquatic,Taxonomy
OTU2337,Ostracoda,Candonidae,Candona,candida,Aquatic,Taxonomy
OTU234,NA,NA,NA,NA,NA,NA
OTU2340,Insecta,Chironomidae,Paratanytarsus,tenellulus,Semi-aquatic,freshwaterecology.info
OTU235,NA,NA,NA,NA,NA,NA
OTU238,Insecta,Hybotidae,Platypalpus,candicans,Terrestrial,“Dagger flies” (Insecta: Diptera: Empedidae).
OTU239,Clitellata,Lumbricidae,Octolasion,cyaneum,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU24,NA,NA,NA,NA,NA,NA
OTU240,Clitellata,Enchytraeidae,Buchholzia,appendiculata,Semi-terrestrial,"DUMNICKA, E. (1996). AQUATIC OLIGOCHAETA AND APHANONEURA FROM THE. Mémoires de biospéologie, 23, 167-171."
OTU241,Insecta,Curculionidae,Barypeithes,pellucidus,Terrestrial,Taxonomy
OTU242,NA,NA,NA,NA,NA,NA
OTU2437,Insecta,Sciaridae,Bradysia,trivittata,Semi-terrestrial,"Distribution of black fungus gnats (Diptera, Sciaridae) in Morocco, with an updated list of species and an emphasis on Moroccan crop pest species"
OTU2451,NA,NA,NA,NA,NA,NA
OTU24536,NA,NA,NA,NA,NA,NA
OTU2463,Insecta,Nemouridae,Protonemura,intricata,Semi-aquatic,freshwaterecology.info
OTU25,NA,NA,NA,NA,NA,NA
OTU2526,Insecta,Chironomidae,Microtendipes,NA,Semi-aquatic,freshwaterecology.info
OTU2546,Branchiopoda,Chydoridae,Chydorus,brevilabris,Aquatic,Taxonomy
OTU255,NA,NA,NA,NA,NA,NA
OTU2580,NA,NA,NA,NA,NA,NA
OTU259,Clitellata,Enchytraeidae,Fridericia,tuberosa,Semi-terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU26,NA,NA,NA,NA,NA,NA
OTU262,NA,NA,NA,NA,NA,NA
OTU263,Clitellata,Megascolecidae,Achaeta,danica,Terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU265,Clitellata,Lumbricidae,Aporrectodea,rosea,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU267,Insecta,Curculionidae,Barypeithes,pellucidus,Terrestrial,Taxonomy
OTU2683,NA,NA,NA,NA,NA,NA
OTU2697,Insecta,Culicidae,Mansonia,NA,Semi-aquatic,freshwaterecology.info
OTU27,NA,NA,NA,NA,NA,NA
OTU270,NA,NA,NA,NA,NA,NA
OTU2719,Branchiopoda,Daphniidae,Daphnia,longispina,Aquatic,Taxonomy
OTU272,Insecta,Chironomidae,Cricotopus,reversus,Semi-aquatic,freshwaterecology.info
OTU276,NA,NA,NA,NA,NA,NA
OTU2775,Eurotatoria,Brachionidae,Keratella,quadrata,Aquatic,Taxonomy
OTU2790,Insecta,Leuctridae,Leuctra,hippopus,Semi-aquatic,freshwaterecology.info
OTU28,NA,NA,NA,NA,NA,NA
OTU2806,Insecta,Chironomidae,Microtendipes,chloris,Semi-aquatic,freshwaterecology.info
OTU2818,Insecta,Chironomidae,Micropsectra,pallidula,Semi-aquatic,freshwaterecology.info
OTU2828,Branchiopoda,Chydoridae,Chydorus,brevilabris,Aquatic,Taxonomy
OTU283,NA,NA,NA,NA,NA,NA
OTU2833,Branchiopoda,Daphniidae,Daphnia,NA,Aquatic,Taxonomy
OTU2864,Arachnida,Trombidiidae,Allothrombium,fuliginosum,Terrestrial,Taxonomy
OTU288,Insecta,Chironomidae,Potthastia,gaedii,Semi-aquatic,freshwaterecology.info
OTU2892,NA,NA,NA,NA,NA,NA
OTU29,Clitellata,Lumbricidae,Octolasion,NA,NA,NA
OTU2905,Insecta,Baetidae,Baetis,NA,Semi-aquatic,freshwaterecology.info
OTU2922,Insecta,NA,NA,NA,NA,NA
OTU2926,NA,NA,NA,NA,NA,NA
OTU29406,Insecta,Chironomidae,NA,NA,Semi-aquatic,freshwaterecology.info
OTU2953,Insecta,NA,NA,NA,NA,NA
OTU2971,Branchiopoda,Daphniidae,Daphnia,NA,Aquatic,Taxonomy
OTU3,Collembola,Tullbergiidae,Mesaphorura,macrochaeta,Semi-terrestrial,Water availability rather than temperature control soil fauna community structure and prey–predator interactions
OTU30,Ostracoda,Cyprididae,Cypridopsis,vidua,Aquatic,Taxonomy
OTU3038,Insecta,Chironomidae,NA,NA,Semi-aquatic,freshwaterecology.info
OTU3044,NA,NA,NA,NA,NA,NA
OTU3057,Insecta,Chironomidae,Chironomus,NA,Semi-aquatic,freshwaterecology.info
OTU3060,Insecta,Chironomidae,Micropsectra,pallidula,Semi-aquatic,freshwaterecology.info
OTU307,Clitellata,Lumbricidae,Aporrectodea,NA,NA,NA
OTU3077,Eurotatoria,Brachionidae,Keratella,quadrata,Aquatic,Taxonomy
OTU308,NA,NA,NA,NA,NA,NA
OTU3098,NA,NA,NA,NA,NA,NA
OTU3115,NA,NA,NA,NA,NA,NA
OTU312,NA,NA,NA,NA,NA,NA
OTU313,Clitellata,Lumbricidae,Octolasion,cyaneum,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU315,Insecta,Chironomidae,Tvetenia,calvescens,Semi-aquatic,freshwaterecology.info
OTU32,Clitellata,Lumbricidae,Aporrectodea,limicola,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU3209,Insecta,NA,NA,NA,NA,NA
OTU3235,Branchiopoda,Daphniidae,Daphnia,longispina,Aquatic,Taxonomy
OTU327,NA,NA,NA,NA,NA,NA
OTU3275,Branchiopoda,Daphniidae,Daphnia,longispina,Aquatic,Taxonomy
OTU329,NA,NA,NA,NA,NA,NA
OTU3297,Collembola,Orchesellidae,Orchesella,cincta,Terrestrial,"Hopkin, S. P. (2007). A key to the Collembola (springtails) of Britain and Ireland. FSC publications."
OTU33,Clitellata,Enchytraeidae,Buchholzia,appendiculata,Semi-terrestrial,"DUMNICKA, E. (1996). AQUATIC OLIGOCHAETA AND APHANONEURA FROM THE. Mémoires de biospéologie, 23, 167-171."
OTU3305,Collembola,Orchesellidae,Orchesella,cincta,Terrestrial,"Hopkin, S. P. (2007). A key to the Collembola (springtails) of Britain and Ireland. FSC publications."
OTU3339,NA,NA,NA,NA,NA,NA
OTU3399,Insecta,Syrphidae,Episyrphus,NA,Terrestrial,"Bargen, H., Saudhof, K., & Poehling, H. M. (1998). Prey finding by larvae and adult females of Episyrphus balteatus. Entomologia Experimentalis et Applicata, 87(3), 245-254."
OTU34,Insecta,Chironomidae,Psectrocladius,schlienzi,Semi-aquatic,freshwaterecology.info
OTU341,Insecta,Chironomidae,Cricotopus,reversus,Semi-aquatic,freshwaterecology.info
OTU3430,Insecta,Caeciliusidae,Valenzuela,burmeisteri,Terrestrial,Taxonomy
OTU345,NA,NA,NA,NA,NA,NA
OTU3458,Branchiopoda,Daphniidae,Daphnia,longispina,Aquatic,Taxonomy
OTU346,NA,NA,NA,NA,NA,NA
OTU347,NA,NA,NA,NA,NA,NA
OTU3480,Insecta,Leuctridae,Leuctra,hippopus,Semi-aquatic,freshwaterecology.info
OTU35,NA,NA,NA,NA,NA,NA
OTU351,Insecta,NA,NA,NA,NA,NA
OTU353,Insecta,Chironomidae,Paratrichocladius,rufiventris,Semi-aquatic,freshwaterecology.info
OTU355,NA,NA,NA,NA,NA,NA
OTU357,Insecta,Staphylinidae,Medon,NA,Terrestrial,www.ukbeetles.co.uk
OTU36,Clitellata,Megascolecidae,Achaeta,danica,Terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU3607,Arachnida,Trombidiidae,Allothrombium,fuliginosum,Terrestrial,Taxonomy
OTU3621,NA,NA,NA,NA,NA,NA
OTU3641,Insecta,Syrphidae,Episyrphus,NA,Terrestrial,"Bargen, H., Saudhof, K., & Poehling, H. M. (1998). Prey finding by larvae and adult females of Episyrphus balteatus. Entomologia Experimentalis et Applicata, 87(3), 245-254."
OTU366,Clitellata,Lumbricidae,Aporrectodea,rosea,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU368,Collembola,Isotomidae,Desoria,grisea,Terrestrial,"Fjellberg, A. (2007). The collembola of Fennoscandia and Denmark, part II: Entomobryomorpha and Symphypleona. In The Collembola of Fennoscandia and Denmark, Part II: Entomobryomorpha and Symphypleona. Brill."
OTU3690,Insecta,Sialidae,Sialis,lutaria,Semi-aquatic,freshwaterecology.info
OTU37,NA,NA,NA,NA,NA,NA
OTU3737,Insecta,NA,NA,NA,NA,NA
OTU377,Insecta,Chaoboridae,Chaoborus,crystallinus,Semi-aquatic,freshwaterecology.info
OTU379,NA,NA,NA,NA,NA,NA
OTU381,NA,NA,NA,NA,NA,NA
OTU3836,Insecta,Sialidae,Sialis,lutaria,Semi-aquatic,freshwaterecology.info
OTU3872,Insecta,Tipulidae,Nephrotoma,quadrifaria,Semi-aquatic,freshwaterecology.info
OTU3875,NA,NA,NA,NA,NA,NA
OTU388,NA,NA,NA,NA,NA,NA
OTU39,Clitellata,Enchytraeidae,Buchholzia,appendiculata,Semi-terrestrial,"DUMNICKA, E. (1996). AQUATIC OLIGOCHAETA AND APHANONEURA FROM THE. Mémoires de biospéologie, 23, 167-171."
OTU392,NA,NA,NA,NA,NA,NA
OTU397,NA,NA,NA,NA,NA,NA
OTU4,Collembola,Tullbergiidae,Mesaphorura,macrochaeta,Semi-terrestrial,Water availability rather than temperature control soil fauna community structure and prey–predator interactions
OTU40,Clitellata,Lumbricidae,Octolasion,tyrtaeum,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU404,Insecta,unclassified,NA,NA,NA,NA
OTU4064,Eurotatoria,NA,NA,NA,NA,NA
OTU41,Clitellata,Enchytraeidae,Fridericia,paroniana,Semi-terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU4137,Insecta,Chironomidae,Corynoneura,NA,Semi-aquatic,freshwaterecology.info
OTU415,NA,NA,NA,NA,NA,NA
OTU4154,Insecta,Chaoboridae,Chaoborus,flavicans,Semi-aquatic,freshwaterecology.info
OTU4157,Insecta,Chironomidae,Corynoneura,NA,Semi-aquatic,freshwaterecology.info
OTU416,NA,NA,NA,NA,NA,NA
OTU4163,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU418,Insecta,Tipulidae,Tipula,maxima,Semi-aquatic,freshwaterecology.info
OTU42,Insecta,Chironomidae,Psectrocladius,schlienzi,Semi-aquatic,freshwaterecology.info
OTU420,Insecta,Chironomidae,Chironomus,NA,Semi-aquatic,freshwaterecology.info
OTU4249,NA,NA,NA,NA,NA,NA
OTU43,Ostracoda,Cyprididae,Cypridopsis,vidua,Aquatic,Taxonomy
OTU430,NA,NA,NA,NA,NA,NA
OTU437,Insecta,Chironomidae,Dicrotendipes,lobiger,Semi-aquatic,freshwaterecology.info
OTU4372,Eurotatoria,Brachionidae,Keratella,quadrata,Aquatic,Taxonomy
OTU442,NA,NA,NA,NA,NA,NA
OTU443,NA,NA,NA,NA,NA,NA
OTU444,NA,NA,NA,NA,NA,NA
OTU4485,Insecta,Tipulidae,Nephrotoma,quadrifaria,Semi-aquatic,freshwaterecology.info
OTU45,NA,NA,NA,NA,NA,NA
OTU451,Insecta,Chironomidae,Chironomus,NA,Semi-aquatic,freshwaterecology.info
OTU452,Insecta,Staphylinidae,Medon,NA,Terrestrial,www.ukbeetles.co.uk
OTU453,NA,NA,NA,NA,NA,NA
OTU4535,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU46,Clitellata,Megascolecidae,Achaeta,danica,Terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU460,Insecta,NA,NA,NA,NA,NA
OTU461,Collembola,Isotomidae,Desoria,grisea,Terrestrial,"Fjellberg, A. (2007). The collembola of Fennoscandia and Denmark, part II: Entomobryomorpha and Symphypleona. In The Collembola of Fennoscandia and Denmark, Part II: Entomobryomorpha and Symphypleona. Brill."
OTU4762,NA,NA,NA,NA,NA,NA
OTU4777,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU4795,NA,NA,NA,NA,NA,NA
OTU48,Clitellata,Lumbricidae,Aporrectodea,limicola,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU4829,Insecta,Chaoboridae,Chaoborus,flavicans,Semi-aquatic,freshwaterecology.info
OTU49,NA,NA,NA,NA,NA,NA
OTU490,Insecta,Baetidae,Cloeon,dipterum,Semi-aquatic,freshwaterecology.info
OTU493,Insecta,Chaoboridae,Chaoborus,crystallinus,Semi-aquatic,freshwaterecology.info
OTU498,NA,NA,NA,NA,NA,NA
OTU5,NA,NA,NA,NA,NA,NA
